City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
220,Liverpool,GB,51.58,light rain,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
221,Zhicheng,CN,54.36,clear sky,30.2956,111.5047,Wangjiang Building
222,Dingle,PH,74.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
223,Kudahuvadhoo,MV,81.81,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
225,Geraldton,AU,55.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
227,Balsas,BR,83.34,overcast clouds,-7.5325,-46.0356,Novo Hotel
228,Sakakah,SA,60.37,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
229,Namibe,AO,71.64,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
231,Muisne,EC,76.46,overcast clouds,0.6,-80.0333,Quinta Samay
232,San Patricio,US,60.75,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
233,San Isidro,PE,69.39,scattered clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
238,Amalapuram,IN,69.96,few clouds,16.5833,82.0167,swayamprabha service apartments
239,Lishan,CN,53.85,broken clouds,31.8576,113.2951,Hongdu Hotel
240,Mount Gambier,AU,57.22,light rain,-37.8333,140.7667,The Commodore
243,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
245,Yako,BF,79.75,overcast clouds,12.9667,-2.2667,CADAAY
246,Basoko,CD,69.67,broken clouds,1.2391,23.616,Jackyna Hotel
252,Camara De Lobos,PT,66.83,scattered clouds,32.6333,-16.9667,Golden Residence Hotel
254,Carmen,MX,82.44,scattered clouds,18.6333,-91.8333,Hotel Lossandes
255,Hit,IQ,63.1,clear sky,33.6416,42.8251,المعلق حسان رزاق
256,Ca Mau,VN,75.92,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
258,Shima,CN,68.02,clear sky,24.4478,117.8111,龙海钻石大酒店
259,Amahai,ID,78.19,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
261,Garissa,KE,75.97,light rain,-0.4536,39.6401,Sharif Plaza Hotel
262,Labuhan,ID,77.4,overcast clouds,-6.8844,112.2051,DoubleFAG
263,Lorengau,PG,81.75,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
266,Huarmey,PE,68.94,overcast clouds,-10.0681,-78.1522,Hotel Miramar
269,Rancho Palos Verdes,US,71.47,clear sky,33.7445,-118.387,Terranea Resort
271,Kavieng,PG,80.8,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
274,Tecoanapa,MX,83.53,few clouds,16.5167,-98.75,Hotel Manglares
277,Kavaratti,IN,81.75,overcast clouds,10.5669,72.642,Green leaf
280,San Rafael,AR,84.24,clear sky,-34.6177,-68.3301,Hotel San Rafael
281,Alta Floresta,BR,82.22,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
282,Ribeira Grande,PT,64.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
285,Conakry,GN,81.45,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
286,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
289,Trairi,BR,81.37,few clouds,-3.2778,-39.2689,janelas do mar
293,Havelock,US,53.94,clear sky,34.8791,-76.9013,Sherwood Motel
295,Martapura,ID,73.49,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
297,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
303,Eureka,US,53.26,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
304,Yeppoon,AU,67.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
308,Jackson,US,55.38,clear sky,42.4165,-122.8345,Agate Village Apartments
309,Annau,TM,51.3,few clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
311,Jining,CN,51.55,overcast clouds,35.405,116.5814,Yunhe Star Hotel
312,Lagoa,PT,62.55,broken clouds,39.05,-27.9833,Casa Das Faias
316,Buluang,PH,76.48,heavy intensity rain,13.3068,123.3425,Sacueza Beach Resort
317,Sabang,ID,80.6,light rain,5.8933,95.3214,Hotel Citra
318,Kamwenge,UG,61.93,overcast clouds,0.1866,30.4539,Green View Guest House
320,Te Anau,NZ,55.74,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
321,Valparaiso,CL,82.63,clear sky,-33.0393,-71.6273,Hotel Ultramar
322,Ouagadougou,BF,80.53,overcast clouds,12.3642,-1.5383,Pacific Hôtel
324,Mandera,KE,84.27,light rain,3.9366,41.867,Red Sea Resort & Suites Mandera County
326,Dori,BF,81.66,overcast clouds,14.0354,-0.0345,Hôtel Liptako
327,Gunnedah,AU,57.52,clear sky,-30.9833,150.25,Gunnedah Motor Inn
328,Mojoagung,ID,75.47,heavy intensity rain,-7.5667,112.35,Sophie
329,Teluk Nibung,ID,74.86,heavy intensity rain,3.001,99.8164,Hotel Assyifa
331,Santa Lucia,ES,63.77,few clouds,27.9117,-15.5407,Las Tirajanas
333,Kahului,US,83.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
335,Belmonte,BR,73.45,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
