City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Asau,RO,46.4333,26.4,38.32,95,100,1.95,overcast clouds
238,Amalapuram,IN,16.5833,82.0167,69.96,74,23,4.47,few clouds
239,Lishan,CN,31.8576,113.2951,53.85,87,70,4.05,broken clouds
240,Mount Gambier,AU,-37.8333,140.7667,57.22,75,100,8.32,light rain
241,Salisbury,GB,51.0693,-1.7957,44.65,86,26,5.75,scattered clouds
242,Ust-Kuyga,RU,70.0167,135.6,-11.06,99,100,1.77,overcast clouds
243,Kapaa,US,22.0752,-159.319,78.78,90,75,16.11,light rain
244,Igarka,RU,67.4667,86.5833,10.17,94,100,20.31,light snow
245,Yako,BF,12.9667,-2.2667,79.75,21,97,7.29,overcast clouds
246,Basoko,CD,1.2391,23.616,69.67,95,77,3.09,broken clouds
247,Thinadhoo,MV,0.5333,72.9333,81.21,76,91,13.2,overcast clouds
248,Norman Wells,CA,65.282,-126.8329,-0.36,85,20,3.44,few clouds
249,Podporozhye,RU,60.9112,34.1706,22.15,67,6,9.53,clear sky
250,Husavik,IS,66.0449,-17.3389,45.14,82,100,15.95,overcast clouds
251,Goundam,ML,16.4145,-3.6708,82.09,11,100,7.02,overcast clouds
252,Camara De Lobos,PT,32.6333,-16.9667,66.83,75,40,14.97,scattered clouds
253,Rolla,US,37.9514,-91.7713,30.34,42,0,10.36,clear sky
254,Carmen,MX,18.6333,-91.8333,82.44,69,40,0.0,scattered clouds
255,Hit,IQ,33.6416,42.8251,63.1,56,0,1.19,clear sky
256,Ca Mau,VN,9.1769,105.15,75.92,92,100,6.53,overcast clouds
257,Gweta,BW,-20.1833,25.2333,90.9,20,65,7.76,broken clouds
258,Shima,CN,24.4478,117.8111,68.02,82,0,1.57,clear sky
259,Amahai,ID,-3.3333,128.9167,78.19,87,98,5.91,overcast clouds
260,Alto Araguaia,BR,-17.3147,-53.2153,95.29,16,1,3.18,clear sky
